INFO:root:Bryce's Linux Server Acct | Pypy v7.2.0
INFO:root:random seed is 1576603345
INFO:root:Running multirunner_5
INFO:root:Only running play_solitary_v_partner_2() with communicating partnered AIs, depth of 4 for all players, and for utility evals BasicPlusPositionEvalBughouseBase, BasicPlusPositionPlusPocketValEvalBughouseBase, BasicPlusMobilityEvalBughouseBase, BasicPlusPositionPlusMobilityEvalBughouseBase, BasicPlusPositionPlusMobilityEvalBughouseBaseBeale
INFO:root:###########################################
INFO:root:Running play_solitary_v_partner_2() with BasicPlusPositionEvalBughouseBase
INFO:root:play_solitary_v_partner_2: team1 is a solitary AI, using iterative  deepening to max_depth 4/max_states 1000000, with eval [1].  team 2 players are partnered AIs using iterative deepening to  max_depth 4/max_states 1000000, with eval [1], and communicating  is True.
INFO:root:move: whiteA moved g1f3
INFO:root:move: whiteB moved g1f3
INFO:root:move: blackA moved f7f6
INFO:root:move: blackB moved g8f6
INFO:root:move: whiteA moved b1c3
INFO:root:move: whiteB moved b1c3
INFO:root:move: blackA moved c7c6
INFO:root:move: blackB moved b8c6
INFO:root:move: whiteA moved e2e4
INFO:root:move: whiteB moved e2e4
INFO:root:move: blackA moved d7d6
INFO:root:move: blackB moved e7e6
INFO:root:move: whiteA moved f1c4
INFO:root:move: whiteB moved f1b5
INFO:root:move: blackA moved c8g4
INFO:root:move: blackB moved c6e7
INFO:root:move: whiteA moved c4g8
INFO:root:move: whiteB moved e4e5
INFO:root:move: blackA moved h8g8
INFO:root:move: blackB moved N@f4
INFO:root:move: whiteA moved d2d4
INFO:root:move: whiteB moved B@b3
INFO:root:move: blackA moved b8d7
INFO:root:move: blackB moved f4g2
INFO:root:move: whiteA moved P@f7
INFO:root:move: whiteB moved e1f1
INFO:root:move: blackA moved e8f7
INFO:root:move: blackB moved g2f4
INFO:root:move: whiteA moved c1f4
INFO:root:move: whiteB moved e5f6
INFO:root:move: blackA moved N@e6
INFO:root:move: blackB moved g7f6
INFO:root:move: whiteA moved P@g6
INFO:root:move: whiteB moved c3e4
INFO:root:move: blackA moved h7g6
INFO:root:move: blackB moved f8g7
INFO:root:move: whiteA moved f4d6
INFO:root:move: whiteB moved b5d7
INFO:root:move: blackA moved e7d6
INFO:root:move: blackB moved c8d7
INFO:root:move: whiteA moved B@b3
INFO:root:move: whiteB moved e4f6
INFO:root:move: blackA moved P@f4
INFO:root:move: blackB moved g7f6
INFO:root:move: whiteA moved b3e6
INFO:root:move: whiteB moved B@g2
INFO:root:move: blackA moved g4e6
INFO:root:move: blackB moved N@e4
INFO:root:move: whiteA moved N@d3
INFO:root:move: whiteB moved B@e2
INFO:root:move: blackA moved P@g5
INFO:root:move: blackB moved P@g7
INFO:root:move: whiteA moved e1g1
INFO:root:move: whiteB moved P@e5
INFO:root:move: blackA moved e6c4
INFO:root:move: blackB moved f4e2
INFO:root:move: whiteA moved B@b3
INFO:root:move: whiteB moved d1e2
INFO:root:move: blackA moved c4b3
INFO:root:move: blackB moved f6e5
INFO:root:move: whiteA moved a2b3
INFO:root:move: whiteB moved f3e5
INFO:root:move: blackA moved B@e6
INFO:root:move: blackB moved B@d3
INFO:root:move: whiteA moved P@c7
INFO:root:move: whiteB moved e5d3
INFO:root:move: blackA moved d8c7
INFO:root:move: blackB moved e4d2
INFO:root:move: whiteA moved f3g5
INFO:root:move: whiteB moved c1d2
INFO:root:move: blackA moved f6g5
INFO:root:move: blackB moved P@e3
INFO:root:move: whiteA moved d3f4
INFO:root:move: whiteB moved N@f3
INFO:root:move: blackA moved g5f4
INFO:root:move: blackB moved e3d2
INFO:root:move: whiteA moved B@d3
INFO:root:move: whiteB moved N@h5
INFO:root:move: blackA moved N@c5
INFO:root:move: blackB moved d2d1q
INFO:root:move: whiteA moved d4c5
INFO:root:move: whiteB moved a1d1
INFO:root:move: blackA moved B@d4
INFO:root:move: blackB moved N@f5
INFO:root:move: whiteA moved P@e7
INFO:root:move: whiteB moved B@e5
INFO:root:move: blackA moved f8e7
INFO:root:move: blackB moved P@d2
INFO:root:move: whiteA moved c5d6
INFO:root:move: whiteB moved e5g7
INFO:root:move: blackA moved e7d6
INFO:root:move: blackB moved f5g7
INFO:root:move: whiteA moved B@f3
INFO:root:move: whiteB moved h5g7
INFO:root:move: blackA moved N@c5
INFO:root:move: blackB moved e8f8
INFO:root:move: whiteA moved c3d5
INFO:root:move: whiteB moved P@f6
INFO:root:move: blackA moved c6d5
INFO:root:move: blackB moved P@e3
INFO:root:move: whiteA moved e4d5
INFO:root:move: whiteB moved f6e7
INFO:root:move: blackA moved N@h3
INFO:root:move: blackB moved d8e7
INFO:root:move: whiteA moved g2h3
INFO:root:move: whiteB moved N@e5
INFO:root:move: blackA moved N@e5
INFO:root:move: blackB moved f8g7
INFO:root:move: whiteA moved N@g5
INFO:root:move: whiteB moved P@f6
INFO:root:move: blackA moved f7f8
INFO:root:move: blackB moved e7f6
INFO:root:move: whiteA moved g5e6
INFO:root:move: whiteB moved P@h6
INFO:root:move: blackA moved c5e6
INFO:root:move: blackB moved f6h6
INFO:root:move: whiteA moved P@e7
INFO:root:move: whiteB moved P@f6
INFO:root:move: blackA moved f8e7
INFO:root:move: blackB moved h6f6
INFO:root:move: whiteA moved P@f6
INFO:root:move: whiteB moved N@h5
INFO:root:move: blackA moved d7f6
INFO:root:move: blackB moved g7g8
INFO:root:move: whiteA moved d5e6
INFO:root:move: whiteB moved h5f6
INFO:root:move: blackA moved P@e2
INFO:root:move: blackB moved g8g7
INFO:root:move: whiteA moved d1e2
INFO:root:move: whiteB moved P@h6
INFO:root:move: blackA moved Q@g5
INFO:root:move: blackB moved g7f6
INFO:root:move: whiteA moved N@g3
INFO:root:move: whiteB moved e5d7
INFO:root:move: blackA moved e5f3
INFO:root:move: blackB moved f6e7
INFO:root:move: whiteA moved e2f3
